"DealerName","DealerGuid","DealerId","Website","Domain","AntalBiler"
"Njord Biler ApS","8871da1c-2c78-4ea1-81d5-4817429a67b7","20788","https://www.njord-biler.dk","njord-biler.dk","8"
"Krogsgaard-Jensen Automobiler A/S","5f853620-8fad-e211-9efd-0050568635ef","10779","https://www.krogsgaard-biler.dk/","krogsgaard-biler.dk","8"
"Lindholm Biler A/S - Viborg","b52671b5-ffca-df11-9e98-0025b3e6b7d8","2577","https://lindholmbiler.dk/","lindholmbiler.dk","8"
"Via Biler  A/S - Odense M","70af0f60-fdca-df11-9e98-0025b3e6b7d8","1975","https://www.viabiler.dk/?utm_source=bilbasen&utm_medium=referral","viabiler.dk","8"
"Via Biler A/S - Aarhus Syd","20130f66-fdca-df11-9e98-0025b3e6b7d8","513","https://www.viabiler.dk/brugte-biler/","viabiler.dk","8"
"P. Christensen","39612a3f-62a6-ea11-ba64-0050568635ef","13090","https://pchristensenbrugtebiler.dk/","pchristensenbrugtebiler.dk","8"
"Audi Fredericia - en del af Semler Mobility","2393f24f-ffca-df11-9e98-0025b3e6b7d8","8728","https://www.semlermobility.dk/find-bil/?brands=audi&utm_medium=affiliate&utm_source=shareasale&utm_campaign=produkt&utm_content=audi-fredericia","semlermobility.dk","8"
"Andersen Biler A/S - Taastrup","a8f04830-fdca-df11-9e98-0025b3e6b7d8","3440","https://andersenbiler.dk/","andersenbiler.dk","8"
"SMH Biler ApS","a9fa452b-feca-df11-9e98-0025b3e6b7d8","7702","http://www.smhbiler.dk/","smhbiler.dk","7"
"Gunner Due A/S","5911cba1-fdca-df11-9e98-0025b3e6b7d8","1620","https://www.gunnerdue.dk/","gunnerdue.dk","7"
"Škoda Odense - en del af Semler Mobility","b8124b12-5cc0-e111-a5b6-d8d385a4b8b6","10510","https://www.semlermobility.dk/find-bil/?brands=skoda&utm_medium=affiliate&utm_source=shareasale&utm_campaign=produkt&utm_content=skoda-odense","semlermobility.dk","7"
"AM-Bilhus A/S","b54a0c7e-db11-eb11-bcc8-0050568635ef","13230","https://www.ambilhus.dk/","ambilhus.dk","7"
"Bilhuset Sejer ApS","7f502c48-fdca-df11-9e98-0025b3e6b7d8","2447","http://www.bilhusetsejer.dk/","bilhusetsejer.dk","7"
"Skov & Nielsen ApS","488e8b98-eddd-4e3f-958d-01d0b3092c83","20147","https://sn-biler.dk/","sn-biler.dk","7"
"KJ Engros ApS","8530b6b3-fdca-df11-9e98-0025b3e6b7d8","7435","https://www.kj-engros.dk","kj-engros.dk","7"
"Sand Jensen Automobiler A/S","50314136-fdca-df11-9e98-0025b3e6b7d8","2638","https://www.sandjensen.dk/","sandjensen.dk","7"
"Voltauto.dk","9243fa16-9be4-416e-91ac-365674215b1e","22155",,"","7"
"Fredericia Bilhus","7d2ef4af-c400-4464-8ab3-a25063ad5535","20501","https://frcbilhus.dk","frcbilhus.dk","7"
"E2 Biler","30f160ab-6944-e711-9d69-0050568635ef","12059","http://www.e2biler.dk/","e2biler.dk","7"
"Skovvejs Auto ApS","7ed13b3c-fdca-df11-9e98-0025b3e6b7d8","6533","http://www.skovvejsauto.dk/","skovvejsauto.dk","7"
"Carplace A/S","e621f20e-d5e2-e611-b515-0050568635ef","11929","https://www.carplace.dk/","carplace.dk","7"
"Bilhuset Albertslund ApS","56ef9d31-b824-47af-9e19-363b6a4ca6da","20885","https://Bilhusetalbertslund.dk","bilhusetalbertslund.dk","7"
"Jørgen Hansen Biler A/S","2cd4eff4-14ce-4c3c-9b35-353d870670fc","20807","https://www.jh-biler.dk","jh-biler.dk","7"
"Volkswagen Aalborg - en del af Semler Mobility","816469bb-ffca-df11-9e98-0025b3e6b7d8","2917","https://www.semlermobility.dk/find-bil/?brands=volkswagen&utm_medium=affiliate&utm_source=shareasale&utm_campaign=produkt&utm_content=vw-aalborg","semlermobility.dk","7"
"Odsherred Bilcenter ApS","2db2502a-fdca-df11-9e98-0025b3e6b7d8","1524","https://www.ods-bilcenter.dk/","ods-bilcenter.dk","7"
"Autovirke ApS","4447d688-0cb3-e611-8abf-0050568635ef","11885","https://www.autovirke.dk/","autovirke.dk","7"
"Brdr´s Auto Taastrup ApS","51f14830-fdca-df11-9e98-0025b3e6b7d8","4746","http://www.brdrs-auto.dk/","brdrs-auto.dk","7"
"Borch Auto ApS","e50289e3-8a49-4089-8ddb-56c256e6ba24","20903","https://www.borch-auto.dk/","borch-auto.dk","7"
"Bin2Bil Kalundborg A/S","cbe778af-ffca-df11-9e98-0025b3e6b7d8","1538","http://bin2bil.dk","bin2bil.dk","7"
"Van Mossel Greve","37c31532-f9d8-df11-a986-0025b3e6b7d8","1241","https://www.vanmossel.dk/","vanmossel.dk","7"
"Bjarne Nielsen A/S","82e778af-ffca-df11-9e98-0025b3e6b7d8","2150","https://www.bn.dk/","bn.dk","7"
"Komfort Biler A/S","57537acb-0616-e311-9eff-0050568635ef","10887","https://www.komfortbiler.dk/","komfortbiler.dk","7"
"HolmLy Biler ApS","083e7dbd-2a61-e511-9f48-0050568635ef","11493","http://www.holmlybiler.dk/","holmlybiler.dk","7"
"Laursen bilsalg","5a2ce02a-befd-e611-b515-0050568635ef","11964","https://laursenbilsalg.dk/","laursenbilsalg.dk","7"
"AUTOFYN ApS","e5b1502a-fdca-df11-9e98-0025b3e6b7d8","5349","https://www.autofyn.dk/","autofyn.dk","7"
"Kurts Autoværksted","b8a261c1-ffca-df11-9e98-0025b3e6b7d8","2971","http://www.kurts-auto.dk/","kurts-auto.dk","7"
"Andersen Biler A/S - Gladsaxe","03a7c29f-fbd8-df11-a986-0025b3e6b7d8","1179","https://andersenbiler.dk/","andersenbiler.dk","6"
"Kraft Biler A/S","cf32b6b3-fdca-df11-9e98-0025b3e6b7d8","2392","https://www.kraftbiler.com/","kraftbiler.com","6"
"DM Autohuset Aps","e3de0a35-e4e0-41df-8d28-90d067d013c1","20138",,"","6"
"Dit Autohus Aps","396692c9-1ead-e011-af35-d8d385a4b8b6","10163","https://www.ditautohus.dk/","ditautohus.dk","6"
"Byens Bilcenter ApS","265e95d7-c24c-42ed-94ac-685bc465c8f2","20274","https://byensbilcenter.dk","byensbilcenter.dk","6"
"Ejner Hessel Ringsted","46437051-d779-e311-9f03-0050568635ef","11009","https://www.hessel.dk","hessel.dk","6"
"Kloster Biler ApS","81877df9-fbd8-df11-a986-0025b3e6b7d8","5886","https://www.kloster-biler.dk/","kloster-biler.dk","6"
"MAX DUE A/S – Køge","9412cba1-fdca-df11-9e98-0025b3e6b7d8","1627","https://www.maxdue.dk/","maxdue.dk","6"
"Bilgo i Køge A/S","1310cba1-fdca-df11-9e98-0025b3e6b7d8","1610","https://www.bilgo.dk/","bilgo.dk","6"
"Ejner Hessel Ringkøbing","ea8bd367-ffca-df11-9e98-0025b3e6b7d8","8912","https://www.hessel.dk","hessel.dk","6"
"Kinnerup Auto Kommision A/S","0dcfcb6d-ffca-df11-9e98-0025b3e6b7d8","6622","http://www.kautok.dk","kautok.dk","6"
"Jydsk Automobil Centrum A/S","302671b5-ffca-df11-9e98-0025b3e6b7d8","2520","https://www.vw-randers.dk/","vw-randers.dk","6"
"NK Biler Aps","0391f24f-ffca-df11-9e98-0025b3e6b7d8","8813","https://www.nkbiler.dk/","nkbiler.dk","6"
"HH Bilsalg ApS","cbdae854-f285-e911-bd10-0050568635ef","12742","https://hhbilsalg.dk/","hhbilsalg.dk","6"
"CF Biler ApS","59c2ecf7-2216-4146-b7f8-143bd6e154d5","20002","https://cfbiler.dk/","cfbiler.dk","6"
"KIYAN AUTOMOTIVE ApS","4dc97b51-2622-498c-9150-b6f3ab92b06b","22086",,"","6"
